,CountryName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
21,Equatorial Guinea,2.14653134,2.20352745,2.34720826,1.97840834,1.66348076,1.49993956,1.51855373,1.57114804,1.82898772,1.84398258,1.81856561,1.55349779,1.26357603,1.87566769,2.19292378,2.91533303,3.14450336,2.95976138,3.06170225,3.13503671
22,Kenya,4.63924408,4.80369139,4.95863724,5.16912365,5.34494877,5.31436443,5.87344933,5.99706697,6.04985189,6.02780342,6.11675262,5.81170082,5.61369753,5.51942158,5.4593358,5.21938562,5.14090776,4.1409831,4.30564117,4.59182692
23,Liberia,4.29219103,3.49858928,2.89440227,3.65521455,9.17063904,9.68472099,8.4906292,10.79883385,9.01321793,9.40705395,8.94644737,9.4238615,8.7670517,8.28010082,9.20679283,10.63758373,9.85343266,9.09297276,9.03880787,8.47005749
24,Libya,3.42542052,4.05162811,4.89009905,4.10041189,3.49171281,2.59774685,2.51467609,2.43791389,2.63571715,4.28816032,3.58541131,6.05012751,,,,,,,,
25,Lesotho,5.61176968,7.27745914,6.74524212,6.04550838,6.05738878,5.44926691,6.11966419,7.28075647,7.70154142,8.99738979,8.41961861,9.56151676,9.25281525,9.5466814,9.17449284,8.99539375,8.75972462,10.08778667,10.90125179,11.26946354
26,Morocco,3.97807431,4.12981606,4.42979431,4.55366516,4.72918844,4.76469755,4.94123936,5.42293549,5.30251694,5.8412447,5.86408854,5.7329936,5.74942255,5.68743515,5.27820778,5.06548977,5.23985195,5.23467541,5.33230448,5.30845118
27,Madagascar,4.46962881,4.75725555,4.97110605,4.74734688,5.25489902,5.20261955,5.07627583,4.49428749,4.10616875,4.41676188,4.65100336,4.43843079,3.82249737,3.73896837,4.42833662,4.97224474,5.25697422,4.84431553,4.19787312,3.68728375
28,Mali,5.46631575,4.51951408,4.99772739,5.05059528,5.21768284,5.19515705,5.45588827,5.25303316,5.04372358,5.22657919,4.67865038,4.01483822,3.7521615,3.96750712,4.48156309,4.11143351,3.77377391,3.67425632,3.73249865,3.89389849
29,Mozambique,2.26010299,2.95498824,3.34283662,3.4220655,3.6926434,4.39079046,4.10098362,3.94103193,4.23261261,5.21038246,5.44726419,5.00311899,5.24640608,6.12555981,6.33231783,6.7166338,7.17241096,7.75916147,8.09185696,7.83351135
30,Mauritania,3.37825727,3.57184672,4.00226164,4.03255796,3.70430946,3.40313458,2.70253325,2.87644672,3.01339459,3.11034536,2.63619399,2.47383666,2.64919353,2.86799884,3.46724391,3.67363763,3.09649324,3.33722878,3.57909012,3.30329728
31,Mauritius,2.89581966,2.96084642,3.23190355,3.22486687,3.36119127,3.56529307,3.65428853,3.57065129,3.99199653,4.2265029,4.57982111,4.3078289,4.27675056,4.68303633,5.49399614,5.6999588,5.70678568,5.80943251,5.86705875,6.19943714
32,Malawi,2.7561748,2.38508582,3.77586961,4.67483664,5.73337364,6.05505085,6.91642094,7.66315603,8.59821701,8.26966286,7.24138308,7.49375153,8.47898579,11.57910728,9.71205044,9.33334064,10.87966633,10.88755989,9.82898998,7.39341164
33,Namibia,9.63792515,9.53211975,9.73386574,9.87848473,10.18727589,10.19230366,10.13995361,10.71633053,9.91801167,9.04967022,9.72781372,9.83193302,9.26659298,9.06448746,8.40890884,9.98109627,9.3223238,8.72573948,8.31428051,8.49700546
34,Niger,4.69006205,4.75814819,4.85896921,4.77954054,5.01117468,5.67636585,5.80891418,5.38838816,5.22303343,5.33016539,5.02160501,4.87324095,4.30732203,4.46635866,4.45376825,5.34746218,4.53239059,5.57411432,5.28845072,5.6686306
35,Nigeria,3.19738436,3.18946958,2.49064016,5.05360937,4.6336832,4.46591902,4.25775146,3.90997314,3.6958158,3.58019733,3.29653287,3.32077932,3.35984278,3.42069316,3.34840369,3.58194971,3.64773679,3.75336528,3.09069371,3.02666044
36,Rwanda,4.26349449,3.89250112,3.66946197,8.02439117,8.54291725,8.77702618,7.58474445,7.83395863,7.5351038,7.77558613,8.05313301,7.90435696,8.06890869,6.74579239,6.95749235,6.62107325,6.92619371,6.38999128,6.6816082,6.41066742
37,Sudan,3.60664463,3.36456847,3.30010867,3.89187932,4.15593481,4.09418106,4.88544321,5.66269207,5.42313623,6.39496279,5.05810213,5.61579561,5.68827009,6.96487522,5.67619705,7.26747084,5.48409986,6.05546141,4.43653536,4.57356596
38,Senegal,3.53971124,3.67916536,3.95129871,4.29645395,4.56848049,3.67466164,3.76337719,3.41496325,3.50687575,3.84157085,4.02764177,4.21416569,4.26687956,4.38575172,4.39605808,4.38257313,4.26078129,3.99707484,4.23825741,4.13226938
39,Sierra Leone,11.51732922,10.97251225,11.42102432,10.82905197,10.96055317,11.03772926,10.39398956,10.03516197,9.87387085,11.09847832,10.94338036,13.28134346,10.59041977,11.56772041,19.72741699,20.413414,16.5259552,9.39976025,8.28987408,8.74976635
40,Sub-Saharan Africa,5.40355000128791,5.40504094047784,4.9040311439486,5.89858986975758,5.87301461273848,5.6587683459361,5.51760616670949,5.39472383280605,5.13813937383234,5.57498994341964,5.51923032846689,5.43563280188765,5.23972234498012,5.20734591451701,4.96387439944054,5.27205912690836,5.24960004541517,5.29637397172857,5.03968590463733,4.97056175756633
41,Sao Tome and Principe,10.51090622,10.83180332,10.66279221,12.6178236,11.86979675,11.51630402,8.27670765,8.1677618,7.11202765,7.19514179,6.84464884,6.75577354,6.47629499,7.93743801,6.73101854,5.34009647,6.43088818,6.46091604,5.84369802,5.52976227
42,Eswatini,4.60951757,5.13895321,5.5229826,6.37864399,6.81432486,7.37623358,7.82560015,7.93004131,8.85792923,8.63292217,8.59125805,8.46997261,7.82028151,7.45686579,7.25702429,7.05950689,6.82044792,6.98103666,7.2573719,6.78069067
43,Seychelles,4.61071825,5.39628124,4.56042624,5.35933495,5.1972785,4.97854805,4.67937088,4.09072113,3.98245716,3.88551354,4.82908678,4.80053091,5.73247576,4.50912476,4.7388773,4.5895319,5.18561649,4.90735865,5.26916742,5.1902914
44,Chad,5.45750237,5.29329205,7.26788855,5.50941277,5.50012302,4.84111404,4.86643219,4.34312963,4.0595479,4.44166517,4.06023169,3.91046619,3.85607743,4.06645155,4.27316856,4.52395439,5.05077505,4.55722904,4.1669445,4.3536315
45,Tanzania,3.41530037,4.2355175,4.68907547,5.34231567,5.7373414,6.32282591,7.59827995,6.8842783,5.55704832,5.0630641,5.22392178,5.05598497,5.01779366,4.64643383,4.01492023,3.64969921,3.9635036,4.08257437,4.15363026,3.82769322
46,Uganda,5.0709548,5.03950405,4.75769854,4.29922581,4.70028543,5.80522776,6.46337509,6.11315584,5.45659018,5.78845501,6.80890226,6.69590998,6.10853958,5.78252459,5.33653069,5.11239147,4.9682045,4.0002389,4.03115654,3.82522416
47,South Africa,8.16472149,7.93901682,7.46446323,7.91530371,7.76453447,7.68997431,7.6922164,7.68138409,7.88024807,8.52350235,8.66596985,8.74146175,8.77310753,8.85552406,8.55091476,8.79018974,8.82142925,8.72262383,8.85829735,9.10935497
48,Zambia,7.15237093,6.55248451,6.79403543,7.18999434,7.04994965,6.86332226,5.87367344,4.35264969,4.01207542,4.42680454,3.71929598,3.46053243,3.93052912,4.69091034,3.82924223,4.43510246,4.47720718,4.37697697,5.03271484,5.31220293
