,Year,Meningitis,Alzheimer's disease and other dementias,Parkinson's disease,Nutritional deficiencies,Malaria,Drowning,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug use disorders,Tuberculosis,Cardiovascular diseases,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Self,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings,Protein,Road injuries,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,"Fire, heat, and hot substances",Acute hepatitis
45,2005,194506.0,40564.0,10406.0,163907.0,831177.0,27583.0,70507.0,99452.0,1470200.0,1721.0,455817.0,819013.0,792862.0,799180.0,5320.0,57189.0,487.0,818603.0,5250.0,359312.0,17479.0,119691.0,91710.0,18871.0,159014.0,168488.0,154107.0,155471.0,260230.0,22463.0,19428.0
46,2006,196650.0,42185.0,10811.0,158053.0,833619.0,27887.0,71134.0,100304.0,1407953.0,1754.0,452305.0,832698.0,791879.0,806174.0,5415.0,57820.0,1376.0,817072.0,5313.0,368885.0,6419.0,123593.0,93883.0,19086.0,153330.0,170604.0,156139.0,157350.0,264639.0,22817.0,18981.0
47,2007,195161.0,43425.0,11069.0,151048.0,835237.0,27732.0,70464.0,100767.0,1318224.0,1785.0,445259.0,841784.0,782861.0,812008.0,5484.0,58014.0,851.0,801386.0,5356.0,376491.0,5278.0,126345.0,95310.0,19117.0,146513.0,171057.0,156575.0,158696.0,267813.0,22983.0,18048.0
48,2008,189839.0,45053.0,11469.0,143418.0,832282.0,27146.0,70859.0,100614.0,1218332.0,1839.0,438248.0,856898.0,768014.0,814701.0,5578.0,58492.0,698.0,782170.0,5331.0,386074.0,9782.0,129587.0,97223.0,18993.0,139051.0,171025.0,157675.0,160136.0,270956.0,22859.0,17050.0
49,2009,187657.0,46598.0,11840.0,136904.0,821742.0,26969.0,70542.0,101003.0,1129009.0,1906.0,432015.0,874100.0,756479.0,815765.0,5713.0,59195.0,656.0,767137.0,5354.0,397522.0,17706.0,133384.0,99802.0,18954.0,132650.0,171249.0,159341.0,162454.0,275342.0,22863.0,16377.0
50,2010,182351.0,48285.0,12232.0,131125.0,804031.0,26638.0,71445.0,100748.0,1056095.0,1940.0,422921.0,889338.0,743510.0,815881.0,5835.0,59715.0,1191.0,745735.0,5344.0,409619.0,6128.0,137205.0,102208.0,19084.0,126961.0,171282.0,161018.0,165084.0,279644.0,22849.0,15977.0
51,2011,172992.0,50114.0,12632.0,127263.0,764244.0,26284.0,72653.0,100550.0,987518.0,2000.0,413729.0,908139.0,730110.0,816032.0,5982.0,60078.0,792.0,722725.0,5315.0,422028.0,6727.0,140898.0,104596.0,18866.0,123154.0,171257.0,162543.0,166714.0,284185.0,22821.0,15720.0
52,2012,169244.0,51923.0,13039.0,123130.0,727320.0,26188.0,72562.0,99221.0,915689.0,2062.0,408150.0,928397.0,723919.0,813920.0,6134.0,60815.0,964.0,701462.0,5320.0,435399.0,8152.0,144621.0,107177.0,18964.0,119060.0,172395.0,164344.0,168677.0,289181.0,22956.0,15470.0
53,2013,161754.0,53737.0,13440.0,120077.0,694438.0,25939.0,73762.0,97999.0,852253.0,2140.0,405933.0,947673.0,720857.0,810553.0,6303.0,61688.0,707.0,685617.0,5360.0,449450.0,19938.0,148440.0,110019.0,19026.0,116021.0,173218.0,166320.0,170798.0,294354.0,23166.0,15255.0
54,2014,158749.0,55350.0,13760.0,117086.0,655614.0,25925.0,76260.0,96746.0,804418.0,2226.0,405962.0,968596.0,718903.0,804266.0,6472.0,62792.0,481.0,671049.0,5427.0,463478.0,27247.0,152765.0,113314.0,19096.0,113054.0,175064.0,168346.0,172476.0,298780.0,23365.0,15044.0
55,2015,151136.0,57349.0,14219.0,114234.0,631381.0,25661.0,75765.0,94701.0,768624.0,2297.0,402753.0,996806.0,713144.0,794969.0,6603.0,63572.0,1113.0,653813.0,5442.0,476591.0,24033.0,157094.0,116436.0,19054.0,110216.0,177278.0,170376.0,173551.0,302088.0,23658.0,14778.0
56,2016,150715.0,59145.0,14537.0,112307.0,604566.0,25516.0,77100.0,93796.0,742638.0,2382.0,395453.0,1016603.0,705550.0,786830.0,6735.0,64565.0,977.0,642033.0,5455.0,489801.0,13019.0,160957.0,119305.0,19089.0,108266.0,177824.0,172175.0,176506.0,307832.0,23658.0,14626.0
57,2017,148223.0,61384.0,14956.0,110048.0,578326.0,24882.0,79592.0,92905.0,707227.0,2483.0,385580.0,1039287.0,689041.0,772864.0,6898.0,65978.0,2565.0,632875.0,5429.0,504198.0,18316.0,164342.0,121844.0,18993.0,105990.0,179171.0,174525.0,181635.0,315441.0,23607.0,14517.0
58,2018,142925.0,63753.0,15435.0,103714.0,578552.0,24363.0,82156.0,92260.0,660555.0,2600.0,375906.0,1061135.0,673757.0,761498.0,7078.0,67819.0,949.0,601166.0,5407.0,518707.0,15283.0,166817.0,124402.0,18910.0,99740.0,180937.0,176494.0,184726.0,319603.0,23652.0,14176.0
59,2019,139590.0,66124.0,15930.0,98704.0,590252.0,23768.0,79735.0,91905.0,635623.0,2703.0,369065.0,1085321.0,662060.0,749955.0,7261.0,69367.0,1642.0,576592.0,5391.0,533567.0,9519.0,170540.0,127158.0,18792.0,94780.0,182243.0,178908.0,187968.0,324066.0,23657.0,13950.0
